generation,individual_id,fitness,validation_accuracy,train_accuracy,train_loss,validation_loss,parameters,latency_ms,parameter_penalty,latency_penalty,genome,num_layers,filters,kernel_sizes,pooling_types,skip_connections,dropout
9,85,0.6346260995333158,0.6406,0.5338444444444445,1.2960907134373982,1.0303679193496704,527130,0.702600466684089,0.0052713,0.0007026004666840891,"{""num_layers"": 4, ""filters"": [16, 32, 128, 128], ""kernel_sizes"": [3, 5, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""max""], ""skip_connections"": [false, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.04725297375754717}",4,"[16, 32, 128, 128]","[3, 5, 5, 5]","[""max"", ""max"", ""max"", ""max""]","[false, false, false, true]",0.04725297375754717
9,86,0.5869054031333119,0.5892,0.49106666666666665,1.4048548597335815,1.1549458450317382,146954,0.8250568666881009,0.00146954,0.0008250568666881009,"{""num_layers"": 4, ""filters"": [64, 32, 128, 16], ""kernel_sizes"": [5, 3, 5, 3], ""pooling_types"": [""avg"", ""avg"", ""max"", ""avg""], ""skip_connections"": [true, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.04725297375754717}",4,"[64, 32, 128, 16]","[5, 3, 5, 3]","[""avg"", ""avg"", ""max"", ""avg""]","[true, false, false, true]",0.04725297375754717
9,87,0.6397185231666426,0.6438,0.5474444444444444,1.2606167080985176,0.9828781448364258,295594,1.125536833357425,0.00295594,0.001125536833357425,"{""num_layers"": 4, ""filters"": [128, 16, 64, 128], ""kernel_sizes"": [3, 5, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""max""], ""skip_connections"": [true, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[128, 16, 64, 128]","[3, 5, 5, 5]","[""max"", ""max"", ""max"", ""max""]","[true, false, false, true]",0.045454706086896945
10,88,0.6230880273666887,0.6276,0.5661777777777778,1.2084089632670085,1.0655055391311645,375498,0.7569926333114078,0.00375498,0.0007569926333114078,"{""num_layers"": 4, ""filters"": [64, 128, 64, 128], ""kernel_sizes"": [5, 3, 5, 3], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, true, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[64, 128, 64, 128]","[5, 3, 5, 3]","[""max"", ""max"", ""max"", ""avg""]","[false, false, true, true]",0.045454706086896945
10,89,0.3711757652333421,0.3758,0.2823555555555556,1.902373632176717,1.6722215267181397,393994,0.6842947666579372,0.00393994,0.0006842947666579372,"{""num_layers"": 4, ""filters"": [128, 128, 64, 64], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, true, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.45056802242821653}",4,"[128, 128, 64, 64]","[3, 3, 5, 3]","[""max"", ""max"", ""max"", ""avg""]","[false, true, false, true]",0.45056802242821653
10,90,0.5337656236999954,0.5348,0.4593555555555556,1.4911686456044515,1.2976149173736573,58666,0.44771630000468576,0.00058666,0.0004477163000046858,"{""num_layers"": 3, ""filters"": [32, 64, 64], ""kernel_sizes"": [5, 3, 3], ""pooling_types"": [""avg"", ""avg"", ""max""], ""skip_connections"": [false, false, false], ""dilations"": [1, 1, 1], ""separable"": [false, false, false], ""dropout"": 0.04725297375754717}",3,"[32, 64, 64]","[5, 3, 3]","[""avg"", ""avg"", ""max""]","[false, false, false]",0.04725297375754717
10,91,0.6359937024999818,0.6424,0.5373333333333333,1.2864263681411743,0.9941621724128723,527130,1.1349975000181682,0.0052713,0.0011349975000181684,"{""num_layers"": 4, ""filters"": [16, 32, 128, 128], ""kernel_sizes"": [3, 5, 5, 5], ""pooling_types"": [""max"", ""avg"", ""max"", ""max""], ""skip_connections"": [false, false, false, false], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.04725297375754717}",4,"[16, 32, 128, 128]","[3, 5, 5, 5]","[""max"", ""avg"", ""max"", ""max""]","[false, false, false, false]",0.04725297375754717
10,92,0.6470800162000248,0.6518,0.5685333333333333,1.2040343801286486,0.9741671586990357,402186,0.6981237999752921,0.00402186,0.0006981237999752921,"{""num_layers"": 4, ""filters"": [128, 128, 64, 64], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""avg"", ""max"", ""max""], ""skip_connections"": [false, false, true, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[128, 128, 64, 64]","[3, 3, 5, 3]","[""avg"", ""avg"", ""max"", ""max""]","[false, false, true, true]",0.045454706086896945
10,93,0.6052836420999871,0.6124,0.548,1.260486449898614,1.0470142352104188,635594,0.7604179000130292,0.00635594,0.0007604179000130293,"{""num_layers"": 4, ""filters"": [64, 128, 128, 16], ""kernel_sizes"": [3, 5, 5, 3], ""pooling_types"": [""avg"", ""max"", ""max"", ""max""], ""skip_connections"": [true, false, false, false], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.04725297375754717}",4,"[64, 128, 128, 16]","[3, 5, 5, 3]","[""avg"", ""max"", ""max"", ""max""]","[true, false, false, false]",0.04725297375754717
10,94,0.4530307031333354,0.4558,0.35073333333333334,1.753358608309428,1.4822795526504517,176234,1.0069568666646471,0.00176234,0.0010069568666646472,"{""num_layers"": 4, ""filters"": [128, 16, 32, 128], ""kernel_sizes"": [3, 5, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""max""], ""skip_connections"": [true, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.3286539555793049}",4,"[128, 16, 32, 128]","[3, 5, 5, 5]","[""max"", ""max"", ""max"", ""max""]","[true, false, false, true]",0.3286539555793049
10,95,0.6503459471333444,0.6546,0.5701111111111111,1.1995163524203831,0.9851269497871399,338826,0.8657928666555866,0.00338826,0.0008657928666555867,"{""num_layers"": 4, ""filters"": [32, 128, 64, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""max"", ""max"", ""max""], ""skip_connections"": [true, true, true, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[32, 128, 64, 128]","[3, 3, 5, 3]","[""avg"", ""max"", ""max"", ""max""]","[true, true, true, true]",0.045454706086896945
